PassengerID,ErrorType,Actual,Predicted,SurvivalProbability,PredictionConfidence,Gender,Age,Fare,Pclass_Code,Family_Size
54,False Positive,0,1,0.9231219644484594,0.9231219644484594,Female,2.0,151.55,1,4
143,False Positive,0,1,0.8909028155155665,0.8909028155155665,Female,30.0,164.8667,1,1
97,False Positive,0,1,0.8819774150956704,0.8819774150956704,Female,33.0,151.55,1,1
23,False Positive,0,1,0.8693564409521692,0.8693564409521692,Female,39.0,211.3375,1,1
20,False Positive,0,1,0.8637601696612769,0.8637601696612769,Female,36.0,31.6792,1,1
90,False Positive,0,1,0.8525121491699216,0.8525121491699216,Female,27.0,52.0,1,4
36,False Negative,1,0,0.20739539986559233,0.7926046001344077,Male,29.0,7.75,3,1
86,False Negative,1,0,0.20759986225058208,0.7924001377494179,Male,29.0,9.5,3,1
151,False Positive,0,1,0.7901757825549341,0.7901757825549341,Female,28.0,21.0,2,1
28,False Positive,0,1,0.7830895620086169,0.7830895620086169,Female,12.0,39.0,2,4
