Feature,Level,Count,Actual_Survival_Rate,Predicted_Survival_Rate
Gender,Female,68,0.4852941176470588,0.9411764705882353
Gender,Male,129,0.14728682170542637,0.07751937984496124
Pclass_Code,1,42,0.40476190476190477,0.5952380952380952
Pclass_Code,2,51,0.35294117647058826,0.39215686274509803
Pclass_Code,3,104,0.16346153846153846,0.27884615384615385
AgeGroup,Child,15,0.5333333333333333,0.3333333333333333
AgeGroup,Teen,7,0.5714285714285714,0.42857142857142855
AgeGroup,Young Adult,123,0.21138211382113822,0.42276422764227645
AgeGroup,Adult,44,0.3181818181818182,0.3181818181818182
AgeGroup,Senior,8,0.0,0.0
FareBracket,Low,56,0.125,0.26785714285714285
FareBracket,Medium,50,0.2,0.3
FareBracket,High,42,0.40476190476190477,0.40476190476190477
FareBracket,Very High,49,0.3673469387755102,0.5510204081632653
