PassengerID,SurvivedActual,SurvivedPredicted,SurvivalProbability,SurvivalLikelihood,PrimaryDriver,Gender,Age,AgeGroup,Fare,FareBracket,Family_Size,FamilyType,Pclass_Code
1,Survived,Did Not Survive,0.29195368253592807,Low,Passenger Class,Male,32.0,Young Adult,26.0,High,2,Small Family,2
2,Did Not Survive,Did Not Survive,0.4075754130353808,Medium,Passenger Class,Male,20.0,Young Adult,13.8625,High,1,Solo,2
3,Did Not Survive,Did Not Survive,0.21178838739198852,Low,Passenger Class,Male,28.0,Young Adult,7.8958,Low,1,Solo,3
4,Did Not Survive,Did Not Survive,0.3554506120125883,Low,Passenger Class,Male,28.0,Young Adult,0.0,Low,1,Solo,2
5,Did Not Survive,Did Not Survive,0.3880227815442236,Low,Passenger Class,Male,23.0,Young Adult,10.5,Medium,1,Solo,2
6,Did Not Survive,Did Not Survive,0.20312132091644847,Low,Passenger Class,Male,30.0,Young Adult,8.05,Medium,1,Solo,3
7,Survived,Survived,0.5561353365469334,Medium,Gender,Female,54.0,Adult,23.0,High,5,Large Family,2
8,Did Not Survive,Did Not Survive,0.23016494412841024,Low,Passenger Class,Male,24.0,Young Adult,9.5,Medium,1,Solo,3
9,Survived,Did Not Survive,0.31781428334295564,Low,Age,Male,50.0,Adult,133.65,Very High,3,Small Family,1
10,Did Not Survive,Did Not Survive,0.3636599409701209,Low,Passenger Class,Male,27.0,Young Adult,13.0,Medium,1,Solo,2
11,Survived,Survived,0.6438247585393834,Medium,Passenger Class,Female,28.0,Young Adult,7.8292,Low,1,Solo,3
12,Did Not Survive,Did Not Survive,0.24665606698355244,Low,Passenger Class,Male,20.5,Young Adult,7.25,Low,1,Solo,3
13,Survived,Survived,0.6438329048483284,Medium,Passenger Class,Female,28.0,Young Adult,7.8792,Low,1,Solo,3
14,Did Not Survive,Did Not Survive,0.21174737634111726,Low,Passenger Class,Male,28.0,Young Adult,7.55,Low,1,Solo,3
15,Did Not Survive,Did Not Survive,0.21177406014150219,Low,Passenger Class,Male,28.0,Young Adult,7.775,Low,1,Solo,3
16,Did Not Survive,Did Not Survive,0.24941758088168534,Low,Passenger Class,Male,20.0,Young Adult,9.5,Medium,1,Solo,3
17,Did Not Survive,Did Not Survive,0.2117088374152584,Low,Passenger Class,Male,28.0,Young Adult,7.225,Low,1,Solo,3
18,Survived,Survived,0.7132057821589908,High,Gender,Female,41.0,Adult,19.5,High,2,Small Family,2
19,Survived,Survived,0.8968525876275794,High,Gender,Female,22.0,Young Adult,55.0,Very High,2,Small Family,1
20,Did Not Survive,Survived,0.8637601696612769,High,Gender,Female,36.0,Adult,31.6792,Very High,1,Solo,1
21,Did Not Survive,Did Not Survive,0.3105957109078543,Low,Passenger Class,Male,36.0,Adult,12.875,Medium,1,Solo,2
22,Survived,Did Not Survive,0.46579546409149414,Medium,Passenger Class,Male,0.67,Child,14.5,High,3,Small Family,2
23,Did Not Survive,Survived,0.8693564409521692,High,Gender,Female,39.0,Adult,211.3375,Very High,1,Solo,1
24,Did Not Survive,Did Not Survive,0.3790599529247179,Low,Passenger Class,Male,25.0,Young Adult,31.5,Very High,1,Solo,2
25,Did Not Survive,Did Not Survive,0.3266121516578898,Low,Age,Male,58.0,Adult,113.275,Very High,3,Small Family,1
26,Did Not Survive,Did Not Survive,0.23467390984695533,Low,Passenger Class,Male,23.0,Young Adult,7.8958,Low,1,Solo,3
27,Did Not Survive,Did Not Survive,0.21177652703477687,Low,Passenger Class,Male,28.0,Young Adult,7.7958,Low,1,Solo,3
28,Did Not Survive,Survived,0.7830895620086169,High,Gender,Female,12.0,Child,39.0,Very High,4,Small Family,2
29,Did Not Survive,Did Not Survive,0.18257875804475146,Low,Passenger Class,Male,35.0,Young Adult,8.05,Medium,1,Solo,3
30,Survived,Survived,0.6437263119624039,Medium,Passenger Class,Female,28.0,Young Adult,7.225,Low,1,Solo,3
31,Did Not Survive,Did Not Survive,0.21174737634111726,Low,Passenger Class,Male,28.0,Young Adult,7.55,Low,1,Solo,3
32,Did Not Survive,Survived,0.6792698568181703,Medium,Passenger Class,Female,22.0,Young Adult,7.725,Low,1,Solo,3
33,Survived,Survived,0.7827487653157532,High,Gender,Female,58.0,Adult,153.4625,Very High,2,Small Family,1
34,Survived,Survived,0.7578782068023947,High,Gender,Female,35.0,Young Adult,21.0,High,1,Solo,2
35,Did Not Survive,Did Not Survive,0.2135286960194109,Low,Passenger Class,Male,28.0,Young Adult,22.525,High,1,Solo,3
36,Survived,Did Not Survive,0.20739539986559233,Low,Passenger Class,Male,29.0,Young Adult,7.75,Low,1,Solo,3
37,Did Not Survive,Did Not Survive,0.22072692032398186,Low,Passenger Class,Male,26.0,Young Adult,7.775,Low,1,Solo,3
38,Did Not Survive,Survived,0.5401290164917955,Medium,Age,Male,32.5,Young Adult,211.5,Very High,1,Solo,1
39,Did Not Survive,Survived,0.5603873802899675,Medium,Passenger Class,Female,36.0,Adult,12.1833,Medium,3,Small Family,3
40,Did Not Survive,Did Not Survive,0.1367553895592818,Low,Passenger Class,Male,48.0,Adult,7.8542,Low,1,Solo,3
41,Did Not Survive,Survived,0.5687332520036753,Medium,Passenger Class,Female,30.0,Young Adult,24.15,High,3,Small Family,3
42,Survived,Survived,0.7713716783792953,High,Gender,Female,22.0,Young Adult,29.0,Very High,3,Small Family,2
43,Did Not Survive,Did Not Survive,0.3579041981200623,Low,Passenger Class,Male,28.0,Young Adult,15.05,High,1,Solo,2
44,Did Not Survive,Did Not Survive,0.23083499707779961,Low,Age,Male,70.0,Senior,71.0,Very High,3,Small Family,1
45,Did Not Survive,Did Not Survive,0.14468457096538398,Low,Passenger Class,Male,45.5,Adult,7.225,Low,1,Solo,3
46,Did Not Survive,Survived,0.643870914425355,Medium,Passenger Class,Female,28.0,Young Adult,8.1125,Medium,1,Solo,3
47,Did Not Survive,Did Not Survive,0.22531891535240023,Low,Passenger Class,Male,25.0,Young Adult,7.8958,Low,1,Solo,3
48,Survived,Did Not Survive,0.4145905431756334,Medium,Age,Male,37.0,Adult,52.5542,Very High,3,Small Family,1
49,Did Not Survive,Did Not Survive,0.2540248825003873,Low,Passenger Class,Male,19.0,Young Adult,6.75,Low,1,Solo,3
50,Did Not Survive,Did Not Survive,0.24428937251991373,Low,Passenger Class,Male,21.0,Young Adult,7.8542,Low,1,Solo,3
51,Did Not Survive,Did Not Survive,0.2541791797052379,Low,Passenger Class,Male,19.0,Young Adult,7.8958,Low,1,Solo,3
52,Did Not Survive,Did Not Survive,0.48596635812328276,Medium,Passenger Class,Female,45.0,Adult,14.1083,High,2,Small Family,3
53,Did Not Survive,Did Not Survive,0.29390539181600683,Low,Passenger Class,Male,39.0,Adult,13.0,Medium,1,Solo,2
54,Did Not Survive,Survived,0.9231219644484594,High,Gender,Female,2.0,Child,151.55,Very High,4,Small Family,1
